player,elo_overall,matches_played,elo_hard,matches_hard,elo_clay,matches_clay,elo_grass,matches_grass,elo_carpet,matches_carpet
Kucova K.,1462.4,99,1458.2,49,1444.4,44,1457.5,6,1500.0,0
Giovine C.,1462.3,1,1500.0,0,1460.3,1,1500.0,0,1500.0,0
Baltacha E.,1462.3,83,1418.2,50,1418.4,17,1506.2,16,1500.0,0
Torpegaard M.,1462.2,4,1456.2,4,1500.0,0,1500.0,0,1500.0,0
Cina F.,1462.2,12,1488.9,3,1442.6,9,1500.0,0,1500.0,0
Schuurs D.,1462.1,1,1456.1,1,1500.0,0,1500.0,0,1500.0,0
Duval V.,1462.0,20,1426.2,12,1497.9,2,1405.9,6,1500.0,0
Liebens K.,1462.0,1,1448.2,1,1500.0,0,1500.0,0,1500.0,0
Kuzmanov D.,1461.9,13,1331.0,11,1612.5,2,1500.0,0,1500.0,0
Patterson T.,1461.9,2,1454.5,2,1500.0,0,1500.0,0,1500.0,0
Nuudi M.,1461.9,1,1460.0,1,1500.0,0,1500.0,0,1500.0,0
Trongcharoenchaikul W.,1461.7,1,1464.6,1,1500.0,0,1500.0,0,1500.0,0
Torro Flor M.T.,1461.7,79,1501.2,30,1435.6,45,1439.3,4,1500.0,0
Semenistaja D.,1461.6,11,1405.0,6,1536.9,4,1399.7,1,1500.0,0
Zantedeschi A.,1461.5,1,1500.0,0,1458.5,1,1500.0,0,1500.0,0
Ouanna J.,1461.5,11,1477.2,6,1441.7,5,1500.0,0,1500.0,0
Shyla Y.,1461.4,1,1444.8,1,1500.0,0,1500.0,0,1500.0,0
Ancic M.,1461.2,5,1527.4,4,1421.3,1,1500.0,0,1500.0,0
Valdmannova V.,1461.2,1,1451.3,1,1500.0,0,1500.0,0,1500.0,0
Belyaev I.,1461.2,1,1456.2,1,1500.0,0,1500.0,0,1500.0,0
Reid M.,1461.1,1,1500.0,0,1500.0,0,1462.9,1,1500.0,0
Medina Garrigues A.,1461.1,178,1381.0,76,1585.5,92,1417.2,10,1500.0,0
Cui J.,1461.1,1,1440.7,1,1500.0,0,1500.0,0,1500.0,0
Antonitsch M.,1461.1,1,1500.0,0,1429.3,1,1500.0,0,1500.0,0
Koukalova K.,1461.0,68,1316.9,33,1561.7,20,1557.1,15,1500.0,0
Takahashi Y.,1460.9,1,1462.3,1,1500.0,0,1500.0,0,1500.0,0
Hennemann C.W.,1460.6,1,1500.0,0,1425.2,1,1500.0,0,1500.0,0
Aragone JC,1460.6,1,1500.0,0,1500.0,0,1416.4,1,1500.0,0
Simmonds P.,1460.5,1,1444.7,1,1500.0,0,1500.0,0,1500.0,0
Radisic N.,1460.5,1,1457.4,1,1500.0,0,1500.0,0,1500.0,0
Arnaboldi A.,1460.3,14,1458.0,1,1486.7,12,1452.2,1,1500.0,0
Volodko K.,1460.2,2,1484.8,1,1473.8,1,1500.0,0,1500.0,0
Russell M.,1460.1,126,1511.3,88,1358.1,17,1429.4,21,1500.0,0
Ito T.,1460.0,81,1405.9,54,1431.0,9,1514.4,18,1500.0,0
Zhou Y.M.,1460.0,8,1461.2,8,1500.0,0,1500.0,0,1500.0,0
Wang Xiyu,1460.0,1,1466.3,1,1500.0,0,1500.0,0,1500.0,0
Oprandi R.,1459.9,107,1498.9,52,1494.6,42,1436.8,13,1500.0,0
Guth M.,1459.9,1,1500.0,0,1500.0,0,1434.3,1,1500.0,0
Veger F.,1459.9,1,1442.6,1,1500.0,0,1500.0,0,1500.0,0
Solovyeva V.,1459.8,4,1476.3,1,1481.3,3,1500.0,0,1500.0,0
Zaar L.,1459.7,1,1500.0,0,1458.0,1,1500.0,0,1500.0,0
Garcia-Vidagany B.,1459.7,1,1500.0,0,1455.5,1,1500.0,0,1500.0,0
Melichar N.,1459.6,1,1450.7,1,1500.0,0,1500.0,0,1500.0,0
Greul S.,1459.3,43,1450.2,14,1442.5,24,1442.7,5,1500.0,0
Spiteri D.,1459.2,1,1500.0,0,1441.0,1,1500.0,0,1500.0,0
Melzer G.,1459.2,46,1345.8,9,1515.5,37,1500.0,0,1500.0,0
Pavlovic L.,1459.1,2,1469.4,1,1470.7,1,1500.0,0,1500.0,0
Tepavac M.,1459.1,1,1459.2,1,1500.0,0,1500.0,0,1500.0,0
Robert S.,1459.0,110,1414.1,59,1495.7,39,1461.4,12,1500.0,0
Paszek T.,1458.9,142,1433.1,89,1288.3,21,1572.0,32,1500.0,0
Bassols Ribera M.,1458.8,1,1500.0,0,1454.2,1,1500.0,0,1500.0,0
Glozman V.,1458.8,1,1446.2,1,1500.0,0,1500.0,0,1500.0,0
Ryderstedt M.,1458.8,7,1459.7,3,1511.9,4,1500.0,0,1500.0,0
Kang J.,1458.8,1,1466.7,1,1500.0,0,1500.0,0,1500.0,0
Te R.,1458.8,1,1420.1,1,1500.0,0,1500.0,0,1500.0,0
Falconi I.,1458.7,114,1406.4,66,1572.8,34,1466.4,14,1500.0,0
Shoshyna A.,1458.7,1,1500.0,0,1434.4,1,1500.0,0,1500.0,0
Trotter J.K.,1458.6,2,1446.7,2,1500.0,0,1500.0,0,1500.0,0
Aragone J.C.,1458.4,1,1460.3,1,1500.0,0,1500.0,0,1500.0,0
Oswald P.,1458.3,3,1454.8,1,1497.0,2,1500.0,0,1500.0,0
Mu T.,1458.2,1,1465.5,1,1500.0,0,1500.0,0,1500.0,0
Petersson R.,1458.1,1,1500.0,0,1454.5,1,1500.0,0,1500.0,0
Olaso G.,1458.1,6,1419.5,1,1500.5,5,1500.0,0,1500.0,0
Sakamoto R.,1458.1,6,1446.4,6,1500.0,0,1500.0,0,1500.0,0
Berrer M.,1458.0,146,1478.9,101,1408.2,34,1371.3,11,1500.0,0
Janicijevic S.,1457.9,11,1430.1,1,1480.9,10,1500.0,0,1500.0,0
Vardhan V.,1457.8,1,1461.4,1,1500.0,0,1500.0,0,1500.0,0
Barrios M.,1457.8,27,1445.9,5,1440.8,19,1527.4,3,1500.0,0
Ivanov V.,1457.8,1,1419.7,1,1500.0,0,1500.0,0,1500.0,0
Cako J.,1457.6,3,1455.7,3,1500.0,0,1500.0,0,1500.0,0
Bona A.,1457.5,1,1500.0,0,1461.9,1,1500.0,0,1500.0,0
Martineau M.,1457.5,2,1483.3,1,1500.0,0,1465.3,1,1500.0,0
Llagostera Vives N.,1457.5,23,1366.6,8,1499.5,14,1410.4,1,1500.0,0
Shi B.,1457.3,1,1454.3,1,1500.0,0,1500.0,0,1500.0,0
Ortega-Olmedo R.,1457.3,1,1500.0,0,1451.3,1,1500.0,0,1500.0,0
Bennani R.,1457.2,1,1500.0,0,1436.6,1,1500.0,0,1500.0,0
Monteiro J.,1457.0,1,1449.1,1,1500.0,0,1500.0,0,1500.0,0
Arvidsson I.,1456.9,1,1500.0,0,1447.7,1,1500.0,0,1500.0,0
Minca I.,1456.9,1,1500.0,0,1461.6,1,1500.0,0,1500.0,0
Kung L.,1456.9,16,1574.1,8,1371.5,6,1523.4,2,1500.0,0
Zahlavova Strycova B..,1456.7,7,1424.9,5,1518.0,2,1500.0,0,1500.0,0
Galovic V.,1456.2,7,1500.0,0,1508.6,5,1388.9,2,1500.0,0
Fancutt T.,1456.2,1,1426.8,1,1500.0,0,1500.0,0,1500.0,0
Chrysochos P.,1456.1,1,1456.1,1,1500.0,0,1500.0,0,1500.0,0
