player,matches,wins,losses,match_win_pct,spw,spw_in_play,aces,ace_pct,dfs,df_pct,df_pct_2nd,first_in_pct,first_win_pct,second_win_pct,second_win_pct_in_play,hold_pct,pts_per_service_game,pts_lost_per_service_game
Daria Kasatkina,9,4,5,0.4444444444444444,0.513671875,0.5280172413793104,18.0,0.03515625,30.0,0.05859375,0.2112676056338028,0.72265625,0.5621621621621622,0.3873239436619718,0.49107142857142855,0.5492957746478874,7.211267605633803,3.507042253521127
Darja Vidmanova,1,0,1,0.0,0.47674418604651164,0.4823529411764706,0.0,0.0,1.0,0.011627906976744186,0.03225806451612903,0.6395348837209303,0.4727272727272727,0.4838709677419355,0.5,0.5,7.166666666666667,3.75
Diane Parry,7,4,3,0.5714285714285714,0.5233160621761658,0.5393258426966292,5.0,0.025906735751295335,10.0,0.05181347150259067,0.15384615384615385,0.6632124352331606,0.5390625,0.49230769230769234,0.5818181818181818,0.5517241379310345,6.655172413793103,3.1724137931034484
Elena Gabriela Ruse,9,4,5,0.4444444444444444,0.5294117647058824,0.5431654676258992,31.0,0.0492845786963434,42.0,0.06677265500794913,0.14685314685314685,0.5453100158982512,0.597667638483965,0.44755244755244755,0.5245901639344263,0.5789473684210527,6.621052631578947,3.1157894736842104
Elisabetta Cocciaretto,9,4,5,0.4444444444444444,0.5706713780918727,0.5939849624060151,7.0,0.012367491166077738,27.0,0.04770318021201413,0.13846153846153847,0.6554770318021201,0.6253369272237197,0.4666666666666667,0.5416666666666666,0.6746987951807228,6.819277108433735,2.927710843373494
Emiliana Arango,10,5,5,0.5,0.5716463414634146,0.5833333333333334,11.0,0.01676829268292683,21.0,0.03201219512195122,0.12,0.7332317073170732,0.6133056133056133,0.45714285714285713,0.5194805194805194,0.6372549019607843,6.431372549019608,2.7549019607843137
Emma Raducanu,2,0,2,0.0,0.5287356321839081,0.5616438356164384,5.0,0.05747126436781609,9.0,0.10344827586206896,0.3,0.6551724137931034,0.6140350877192983,0.36666666666666664,0.5238095238095238,0.5454545454545454,7.909090909090909,3.727272727272727
Eva Lys,8,3,5,0.375,0.492,0.5258620689655172,2.0,0.004,34.0,0.068,0.21518987341772153,0.684,0.5526315789473685,0.36075949367088606,0.4596774193548387,0.47297297297297297,6.756756756756757,3.4324324324324325
Hanne Vandewinkel,4,1,3,0.25,0.5416666666666666,0.5459770114942529,9.0,0.046875,9.0,0.046875,0.140625,0.6666666666666666,0.609375,0.40625,0.4727272727272727,0.5925925925925926,7.111111111111111,3.259259259259259
Jessica Bouzas Maneiro,9,4,5,0.4444444444444444,0.5563139931740614,0.581056466302368,7.0,0.011945392491467578,30.0,0.051194539249146756,0.1388888888888889,0.6313993174061433,0.6027027027027027,0.47685185185185186,0.553763440860215,0.6111111111111112,6.511111111111111,2.888888888888889
Kamilla Rakhimova,6,2,4,0.3333333333333333,0.5261627906976745,0.5516129032258065,10.0,0.029069767441860465,24.0,0.06976744186046512,0.16783216783216784,0.5843023255813954,0.6268656716417911,0.38461538461538464,0.46218487394957986,0.5769230769230769,6.615384615384615,3.1346153846153846
Karolina Pliskova,12,9,3,0.75,0.5953436807095344,0.6224489795918368,49.0,0.05432372505543237,69.0,0.07649667405764966,0.22549019607843138,0.6607538802660754,0.6728187919463087,0.4444444444444444,0.5738396624472574,0.7122302158273381,6.489208633093525,2.6258992805755397
Katie Boulter,9,4,5,0.4444444444444444,0.5574387947269304,0.5711297071129707,23.0,0.04331450094161959,30.0,0.05649717514124294,0.14634146341463414,0.6139359698681732,0.6349693251533742,0.43414634146341463,0.5085714285714286,0.6493506493506493,6.896103896103896,3.051948051948052
Katie Volynets,7,2,5,0.2857142857142857,0.5190839694656488,0.5289473684210526,3.0,0.007633587786259542,10.0,0.02544529262086514,0.09615384615384616,0.7353689567430025,0.5743944636678201,0.36538461538461536,0.40425531914893614,0.5172413793103449,6.775862068965517,3.2586206896551726
Kimberly Birrell,3,1,2,0.3333333333333333,0.47297297297297297,0.47761194029850745,3.0,0.04054054054054054,4.0,0.05405405405405406,0.23529411764705882,0.7702702702702703,0.49122807017543857,0.4117647058823529,0.5384615384615384,0.4166666666666667,6.166666666666667,3.25
Laura Siegemund,8,4,4,0.5,0.5377532228360957,0.5452793834296724,9.0,0.016574585635359115,15.0,0.027624309392265192,0.11029411764705882,0.7495395948434622,0.5601965601965602,0.47058823529411764,0.5289256198347108,0.5974025974025974,7.0519480519480515,3.25974025974026
Magda Linette,6,3,3,0.5,0.5436241610738255,0.5323741007194245,7.0,0.04697986577181208,3.0,0.020134228187919462,0.0410958904109589,0.5100671140939598,0.6052631578947368,0.4794520547945205,0.5,0.5769230769230769,5.730769230769231,2.6153846153846154
Maria Timofeeva,1,0,1,0.0,0.4642857142857143,0.4423076923076923,3.0,0.05357142857142857,1.0,0.017857142857142856,0.045454545454545456,0.6071428571428571,0.47058823529411764,0.45454545454545453,0.47619047619047616,0.375,7.0,3.75
Maya Joint,3,0,3,0.0,0.48717948717948717,0.49557522123893805,1.0,0.008547008547008548,3.0,0.02564102564102564,0.06976744186046512,0.6324786324786325,0.5,0.46511627906976744,0.5,0.47058823529411764,6.882352941176471,3.5294117647058822
