date,tournament,surface,ace_pct,surface_speed
2012-12-31,Doha,Hard,0.07400000000000001,0.81
2013-01-07,Sydney,Hard,0.114,1.18
2013-01-07,Auckland,Hard,0.113,1.08
2013-01-14,Australian Open,Hard,0.10099999999999999,1.1
2013-02-04,Santiago,Clay,0.068,1.12
2013-02-04,Zagreb,Hard,0.09699999999999999,1.09
2013-02-04,Montpellier,Hard,0.083,1.09
2013-02-11,Sao Paulo,Clay,0.09699999999999999,1.44
2013-02-11,San Jose,Hard,0.136,1.02
2013-02-11,Rotterdam,Hard,0.11,1.19
2013-02-18,Memphis,Hard,0.12300000000000001,1.05
2013-02-18,Buenos Aires,Clay,0.052000000000000005,0.62
2013-02-18,Marseille,Hard,0.135,1.36
2013-02-25,Dubai,Hard,0.091,0.96
2013-02-25,Delray Beach,Hard,0.105,0.86
2013-02-25,Acapulco,Clay,0.062,0.75
2013-03-07,Indian Wells Masters,Hard,0.08,0.82
2013-03-20,Miami Masters,Hard,0.08800000000000001,0.91
2013-04-08,Houston,Clay,0.098,0.65
2013-04-08,Casablanca,Clay,0.059000000000000004,0.62
2013-04-14,Monte Carlo Masters,Clay,0.059000000000000004,0.64
2013-04-22,Bucharest,Clay,0.052000000000000005,0.69
2013-04-22,Barcelona,Clay,0.068,0.72
2013-04-29,Estoril,Clay,0.046,0.66
2013-04-29,Munich,Clay,0.098,0.99
2013-05-05,Madrid Masters,Clay,0.073,0.87
2013-05-12,Rome Masters,Clay,0.077,0.81
2013-05-19,Nice,Clay,0.051,0.6
2013-05-19,Dusseldorf,Clay,0.071,0.82
2013-05-27,Roland Garros,Clay,0.068,0.76
2013-06-10,Queen's Club,Grass,0.133,1.19
2013-06-10,Halle,Grass,0.10400000000000001,1.26
2013-06-16,s Hertogenbosch,Grass,0.08800000000000001,1.09
2013-06-17,Eastbourne,Grass,0.10800000000000001,1.11
2013-06-24,Wimbledon,Grass,0.129,1.29
2013-07-08,Bastad,Clay,0.052000000000000005,0.61
2013-07-08,Stuttgart,Clay,0.071,0.92
2013-07-08,Newport,Grass,0.145,0.92
2013-07-15,Bogota,Hard,0.081,0.83
2013-07-15,Hamburg,Clay,0.066,0.76
2013-07-22,Umag,Clay,0.067,0.88
2013-07-22,Atlanta,Hard,0.174,1.47
2013-07-22,Gstaad,Clay,0.098,1.27
2013-07-28,Kitzbuhel,Clay,0.069,0.84
2013-07-29,Washington,Hard,0.132,1.18
2013-08-05,Canada Masters,Hard,0.09300000000000001,0.98
2013-08-11,Cincinnati Masters,Hard,0.11900000000000001,1.18
2013-08-18,Winston-Salem,Hard,0.10800000000000001,1.14
2013-08-26,US Open,Hard,0.096,1.03
2013-09-16,Metz,Hard,0.087,0.87
2013-09-16,St. Petersburg,Hard,0.081,1.07
2013-09-23,Bangkok,Hard,0.133,1.13
2013-09-23,Kuala Lumpur,Hard,0.07,0.91
2013-09-30,Tokyo,Hard,0.145,1.36
2013-09-30,Beijing,Hard,0.085,0.93
2013-10-07,Shanghai Masters,Hard,0.131,1.34
2013-10-14,Moscow,Hard,0.078,0.88
2013-10-14,Stockholm,Hard,0.098,0.99
2013-10-14,Vienna,Hard,0.11900000000000001,1.18
2013-10-21,Valencia,Hard,0.10099999999999999,1.12
2013-10-21,Basel,Hard,0.11800000000000001,1.08
2013-10-28,Paris Masters,Hard,0.122,1.18
2013-11-04,Tour Finals,Hard,0.096,1.18
2013-12-29,Brisbane,Hard,0.14400000000000002,1.23
2013-12-30,Doha,Hard,0.085,0.83
2013-12-30,Chennai,Hard,0.057,0.65
2014-01-06,Sydney,Hard,0.115,1.27
2014-01-06,Auckland,Hard,0.099,1.01
2014-01-13,Australian Open,Hard,0.105,1.12
2014-02-03,Vina del Mar,Clay,0.077,1.04
2014-02-03,Zagreb,Hard,0.10099999999999999,1.07
2014-02-03,Montpellier,Hard,0.124,1.29
2014-02-10,Buenos Aires,Clay,0.042,0.64
